X	Y	X	Y	X	Y	X	Y	X	Y
0	0	0	0.654	0	1.097	0	119.4	0	85.714
0.01	0.003	0.01	0.654	0.01	1.097	0.01	119.361	0.01	85.714
0.99	0	0.99	0.66	0.99	1.096	0.99	118.926	0.99	85.714
1	0.003	1	0.66	1	1.096	1	118.92	1	85.714
1.01	0.007	1.01	0.66	1.01	1.096	1.01	118.914	1.01	85.714
1.99	0	1.99	0.665	1.99	1.095	1.99	118.341	1.99	85.714
2	0.003	2	0.665	2	1.095	2	118.35	2	85.714
2.01	0.007	2.01	0.665	2.01	1.095	2.01	118.344	2.01	85.714
2.99	0	2.99	0.671	2.99	1.093	2.99	117.867	2.99	85.714
3	0.003	3	0.671	3	1.093	3	117.853	3	85.714
3.01	0.007	3.01	0.671	3.01	1.093	3.01	117.849	3.01	85.714
3.99	0	3.99	0.676	3.99	1.092	3.99	117.445	3.99	85.714
4	0.003	4	0.676	4	1.092	4	117.421	4	85.714
4.01	0.007	4.01	0.676	4.01	1.092	4.01	117.417	4.01	85.714
4.99	0	4.99	0.682	4.99	1.091	4.99	117.043	4.99	85.714
5	0.003	5	0.682	5	1.091	5	117.041	5	85.714
5.01	0.007	5.01	0.682	5.01	1.091	5.01	117.038	5.01	85.714
5.99	0	5.99	0.687	5.99	1.09	5.99	116.666	5.99	85.714
6	0.003	6	0.687	6	1.09	6	116.664	6	85.714
6.01	0.007	6.01	0.687	6.01	1.09	6.01	116.66	6.01	85.714
6.99	0	6.99	0.693	6.99	1.089	6.99	116.28	6.99	85.714
7	0.003	7	0.693	7	1.089	7	116.278	7	85.714
7.01	0.007	7.01	0.693	7.01	1.089	7.01	116.274	7.01	85.714
7.99	0	7.99	0.698	7.99	1.088	7.99	115.887	7.99	85.714
8	0.003	8	0.699	8	1.088	8	115.885	8	85.714
8.01	0.007	8.01	0.699	8.01	1.088	8.01	115.881	8.01	85.714
8.99	0	8.99	0.704	8.99	1.087	8.99	115.489	8.99	85.714
9	0.003	9	0.704	9	1.087	9	115.485	9	85.714
9.01	0.007	9.01	0.704	9.01	1.087	9.01	115.481	9.01	85.714
9.99	0	9.99	0.71	9.99	1.086	9.99	115.086	9.99	85.714
10	0.003	10	0.71	10	1.086	10	115.082	10	85.714
